Id , Brand , Title, Type_THC , Price, Amount, Image Link 
73,Hot Sugar,Dark Chocolate Bites,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/remedytulalip%2FHot+Sugar+Milk+Choc+Bites.jpg-32684abb-fb30-421d-8997-7faaa8a8e455?tr=w-341.3333333333333
74,Hot Sugar,Green Apple Fruit Drops,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/applechews.png?tr=w-320
75,Hot Sugar,Milk Chocolate Bites,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/remedytulalip%2FHot+Sugar+Milk+Choc+Bites.jpg-32684abb-fb30-421d-8997-7faaa8a8e455?tr=w-341.3333333333333
76,Hot Sugar,Orange Creme Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/orangecreme.png?tr=w-320
77,Hot Sugar,Original Soft Caramel ,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot+Sugar+Soft+Caramel+Candies.jpg?tr=w-320
78,Hot Sugar,Peach Mango Fruit Drops,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/peachmango.png?tr=w-320
79,Hot Sugar,Peach Mango Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Peach%20Mango.jpg?tr=w-320
80,Hot Sugar,Root Beer Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Root%20Beer.jpg?tr=w-320
81,Hot Sugar,Soft Salted Caramels,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot+Sugar+Soft+Salted+Caramels.jpg?tr=w-320
82,Hot Sugar,Sour Blue Raspberry Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHot+Sugar+Sour+Blue+Raspberry.jpg-3b2dd3f9-dbd2-4a9d-b2ee-93d5359d7c8?tr=w-320
83,Hot Sugar,Sour Lemon Pothead Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Lemon%20Pothead.jpg?tr=w-320
84,Hot Sugar,Sour Watermelon Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot+Sugar+Sour+Watermelon+Panda+Candy.jpg?tr=w-320
85,Hot Sugar,Strawberry Kiwi Fruit Drops,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Fruit%20Drops%20Strawberry%20Kiwi.jpg?tr=w-320
86,Hot Sugar,Strawberry Kiwi Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Strawberry%20Kiwi.jpg?tr=w-320
87,Hot Sugar,Watermelon Fruit Drops,$20,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/watermelonfruit.png?tr=w-320
88,Hot Sugar,Watermelon Panda Candies,$18,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Hot%20Sugar%20Panda%20Candies%20Watermelon.jpg?tr=w-320
89,Journeyman,Berry Jellies THC,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeryman+WA+berry+jellies+thc+edible+candy.jpg?tr=w-320
90,Journeyman,CBD Berry Jellies 1:1,$30,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+WA+Berry+Jellies+1to1+cbd+edible+candy.jpg?tr=w-320
91,Journeyman,CBD Berry Jellies 30:1,$30,High CBD,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman%20CBD%20Berry%20Jellies.jpg?tr=w-320
92,Journeyman,CBD Sour Jellies 1:1,$30,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+Berry+Fruit+Jellies+Candy+Edible.jpg?tr=w-320
93,Journeyman,CBD Tropical Jellies 1:1,$30,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+WA+1to1+Tropical+Jellies+Variety+pack+edible+candy.jpg?tr=w-320
94,Journeyman,CBD Tropical Jellies 30:1,$30,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+WA+Tropical+Jellies+CBD+30to1+edible+candy.jpg?tr=w-320
95,Journeyman,Sour Jellies,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+WA+Sour+Jellies+THC+edible+candy.jpg?tr=w-320
96,Journeyman,Tropical Jellies,$24,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/Journeyman+WA+Tropical+THC+jellies+pineapple+mango+passion+fruit+variety+pack+edible+candy.jpg?tr=w-320
97,Khush Kush,Brown Sugar Pot-Tarts,$12,Hybrid,(3pk),https://ik.imagekit.io/qxmwvn2y0qb/Khush+Kush+Pot+Tarts.jpg?tr=w-320
98,Khush Kush,Magic Bars,$10,Hybrid,(3pk),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FMagic+Bars+KK.jpg-582cd4a6-9cbb-4cfc-9da3-3274e69c5234?tr=w-320
99,Khush Kush,Pesto Pot Tarts,$12,Hybrid,(3pk),https://ik.imagekit.io/qxmwvn2y0qb/Khush+Kush+Pot+Tarts.jpg?tr=w-320
100,Koko Gemz,Ruby Chocolate,$15,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/koko.png?tr=w-320
101,Left Handed,Chocolate Chip Cookies,$22,Hybrid,(10pk),https://ik.imagekit.io/qxmwvn2y0qb/chocochip.png?tr=w-320
