Id , Brand , Title, Type_THC , Price, Amount, Image Link 
78,High Rise Cannabis,Slurricane,$32 - $200,Indica Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/greentheory%2FHigh-Rise.jpg-4b64b950-d884-478d-afc4-d05e2dab5bd2?tr=w-320
79,High Rise Cannabis,Starburst (Popcorn & Shake),$40,Sativa,(10g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
80,High Rise Cannabis,Starbust,$32 - $200,Sativa,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
81,High Rise Cannabis,XJ-13,$32 - $200,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FHigh-Rise.jpg-795a1117-90fd-44f8-94de-e42c814ae967?tr=w-500
82,Honey Creek,CBD Harlequin,$10 - $65,High CBD,(1.15g - 7.20g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
83,Honey Creek,Fucking Incredible,$13 - $84,Indica,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
84,Honey Creek,Honey B,$10 - $65,Sativa,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
85,Honey Creek,Honey Creek Cookies,$15 - $89,Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
86,Honey Creek,Purple Trainwreck,$35 - $65,Hybrid,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
87,Honey Creek,Silver Surfer,$10 - $65,Sativa,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
88,Honey Creek,Sour Grape,$35,Indica,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/honey+creek+cannabis+flower.jpg?tr=w-320
89,K- Savage,Gello,$48 - $90,Hybrid,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/K-Savage+WA+Flower+Jars.jpg?tr=w-320
90,K- Savage,Kush Mints,$90,Hybrid,(7g),https://ik.imagekit.io/qxmwvn2y0qb/K-Savage+WA+Flower+Jars.jpg?tr=w-320
91,Khush Kush,Brandywine,$38,Indica,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FBrandywine.png-b23a786-6ef4-4346-858c-ed57b2456b3?tr=w-320
92,Khush Kush,Gelato Larry #2,$12 - $75,Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGelato+Larry.png-1b41ce5-9333-46b5-8c6-4ee1e3505e10?tr=w-320
93,Khush Kush,Mendo Breath,$12 - $38,Indica,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FMeno+Breath.png-d482c940-33c9-4c22-a160-6fb3b710df3f?tr=w-320
94,Leafwerx,Blackberry Kush,$28,Indica Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLFW+Flower.jpg-fe49c4ec-dee7-41bb-8647-a77fbed78859?tr=w-320
95,Leafwerx,Blue Dream,$28,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLFW+Flower.jpg-fe49c4ec-dee7-41bb-8647-a77fbed78859?tr=w-320
96,Leafwerx,Cheese,$28,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLFW+Flower.jpg-9fc6cb45-ba9b-4b89-9c35-c70bb337775?tr=w-320
97,Leafwerx,Memory Loss,$28,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLFW+Flower.jpg-fe49c4ec-dee7-41bb-8647-a77fbed78859?tr=w-320
98,Leafwerx,Original Glue,$28,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLFW+Flower.jpg-fe49c4ec-dee7-41bb-8647-a77fbed78859?tr=w-320
99,Legends,Blue Dream,$10 - $25,Sativa,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/NWCS+Legends+Blank+Flower+Jar.jpg?tr=w-320
100,Legends,Hash Plant,$25,Indica Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/NWCS+Legends+Blank+Flower+Jar.jpg?tr=w-320
101,Legends,Purple Trainwreck,$10 - $25,Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/NWCS+Legends+Blank+Flower+Jar.jpg?tr=w-320
102,Loud,Biscotti,$12,Indica Hybrid,(1g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLoud-Hybrid.jpg-e6052e0-66d-4b64-98b8-b21212dd1f9e?tr=w-500
103,Loud,M.A.C.,$28,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLoud-Hybrid.jpg-e6052e0-66d-4b64-98b8-b21212dd1f9e?tr=w-500
104,Loud,Purple Punch,$28,Indica Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FLoud-Hybrid.jpg-e6052e0-66d-4b64-98b8-b21212dd1f9e?tr=w-500
105,MAMA J'S,MAC,$12 - $38,Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/mama+j%27s+flower+jar.jpg?tr=w-320
106,MAMA J'S,Scooby Snacks,$12 - $38,Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/mama+j%27s+flower+jar.jpg?tr=w-320
107,MAMA J'S,Sugar Biscuit,$12 - $38,Indica,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/mama+j%27s+flower+jar.jpg?tr=w-320
108,Mini Budz,Crescendo Mini Budz ,$20,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Northwest%20Cannabis%20Solutions%20Mini%20Budz.jpg?tr=w-320
109,Mini Budz,Purple Trainwreck Mini Budz ,$20,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Northwest%20Cannabis%20Solutions%20Mini%20Budz.jpg?tr=w-320
110,NWCS,Jesus OG,$10 - $25,Hybrid,(1g - 3.50g),https://ik.imagekit.io/qxmwvn2y0qb/NWCS+Legends+Blank+Flower+Jar.jpg?tr=w-500
111,Native Herb Co.,CBD Citrus Sunrise ,$25,High CBD,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/Native+Herb+Co+Flower+Jar+CBD.jpg?tr=w-320
112,Native Herb Co.,Crunchberry Haze,$25 - $150,Sativa Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/Native+Herb+Co.+Sativa+Flower+Jar.jpg?tr=w-320
113,Native Herb Co.,Grape Ape,$25 - $42,Indica,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Native+Herb+Co.+Indica+Flower.jpg?tr=w-320
114,Native Herb Co.,Orange Kush,$25,Indica,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FNative+Indica.jpg-93c41dbd-aaa3-4690-a7a4-98808f511d3?tr=w-320
115,Native Herb Co.,Tangie,$150,Sativa,(28g),https://ik.imagekit.io/qxmwvn2y0qb/Native+Herb+Co.+Sativa+Flower+Jar.jpg?tr=w-320
116,Native Herb Co.,Tangie,$25,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FNative+Hybrid.jpg-c7b6daf0-19e-4fe9-b1e6-dcbb4a96c1a4?tr=w-320
117,Native Herb Co.,White Center Kush,$25 - $150,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FNative+Hybrid.jpg-c7b6daf0-19e-4fe9-b1e6-dcbb4a96c1a4?tr=w-320
118,Noble Farms,ATF,$75 - $140,Sativa Hybrid,(7g - 14g),https://ik.imagekit.io/qxmwvn2y0qb/Noble+Farms+WA+Flower+Jar.jpg?tr=w-320
119,Noble Farms,GG#4,$12 - $75,Indica Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Noble+Farms+WA+Flower+Jar.jpg?tr=w-320
120,Noble Farms,Pugs Breath,$12 - $270,Sativa,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FPugs-Breath.jpg-a3f15dd-699b-47ed-86f-8d4c258d481c?tr=w-320
121,Noble Farms,Sour Pineapple,$38 - $75,Sativa Hybrid,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Noble+Farms+WA+Flower+Jar.jpg?tr=w-320
122,Noble Farms,Triangle Kush,$12 - $75,Indica,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Noble+Farms+WA+Cookies+%26+Cream+Flower.jpg?tr=w-500
123,OMG Sykes,Cali OG x Haze,$25,Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
124,OMG Sykes,Dirty Girl,$8 - $160,Sativa Hybrid,(1g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
125,OMG Sykes,Dutch Treat #2,$25,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
126,OMG Sykes,Hawaiian Dutch Treat,$25,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
127,OMG Sykes,NLX B-Buds,$25 - $160,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
128,OMG Sykes,Purple Kush,$25 - $160,Hybrid,(3.50g - 28g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
129,OMG Sykes,Purple Sour Diesel,$25,Sativa Hybrid,(3.50g),https://ik.imagekit.io/qxmwvn2y0qb/OMG+Skyes+Logo.jpg?tr=w-320
130,Okanogan Gold,Wavy Blue,$95,Hybrid,(28g),https://ik.imagekit.io/qxmwvn2y0qb/Okanogan+Gold+Flower+Bag+Hybrid.jpg?tr=w-320
131,Phat Panda,Black Sparrow,$13 - $79,Indica Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Phat+Panda+Hybrid+Flower+Jar.jpg?tr=w-320
132,Phat Panda,Black Sparrow Bong Buddies,$20,Indica Hybrid,(2g),https://ik.imagekit.io/qxmwvn2y0qb/Phat+Panda+Hybrid+Flower+Jar.jpg?tr=w-320
133,Phat Panda,CBD White Widow ,$40 - $79,High CBD,(3.50g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/Phat%20Panda%20White%20Widow%20Image.jpg?tr=w-320
134,Phat Panda,Cherry Cookies,$13 - $79,Hybrid,(1g - 7g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric.jpg-5a1f4577-d34-49d6-abc8-c4d31dc98c6?tr=w-500
135,Phat Panda,Cherry Mintz Platinum Bong Buddies,$22,Hybrid,(2g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FCherry+Mintz.jpg-35fe46f9-2660-44af-a458-46ad99188c93?tr=w-320
136,Phat Panda,Doughp Platinum Bong Buddies,$22,Hybrid,(2g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FGeneric.jpg-5a1f4577-d34-49d6-abc8-c4d31dc98c6?tr=w-500
137,Phat Panda,Dutch Delight Platinum Bong Buddies,$22,Hybrid,(2g),https://ik.imagekit.io/qxmwvn2y0qb/higherleaf%2FDutch+Delight.jpg-b0f393f1-f69-408-8ffc-392aa2e0b77?tr=w-500
